year,title,Actual,womenonly,menonly,genderweighted
1994,The Shawshank Redemption,1,1,1,1
1972,The Godfather,2,10,2,2
2008,The Dark Knight,4,3,3,3
2003,The Lord of the Rings: The Return of the King,8,2,4,4
1993,Schindler’s List,6,6,11,5
1999,Fight Club,10,5,8,6
2001,The Lord of the Rings: The Fellowship of the Ring,11,7,10,7
1957,12 Angry Men,5,27,7,8
1974,The Godfather: Part II,3,22,5,9
2010,Inception,14,8,6,10
1994,Forrest Gump,12,9,13,11
2002,The Lord of the Rings: The Two Towers,15,11,14,12
1994,The Lion King,47,4,29,13
1994,Pulp Fiction,7,15,9,14
2014,Interstellar,30,25,15,15
1999,The Green Mile,32,12,28,16
1975,One Flew Over the Cuckoo’s Nest,16,24,19,17
1966,"The Good, the Bad and the Ugly",9,115,12,18
2006,The Prestige,48,26,16,19
1998,American History X,31,17,27,20
2012,The Dark Knight Rises,65,23,22,21
1997,Life Is Beautiful,25,16,41,22
1980,Star Wars: Episode V – The Empire Strikes Back,13,41,17,23
1994,Leon: The Professional,27,21,37,24
2002,City of God,21,64,20,25
1995,Se7en,22,28,23,26
2001,Spirited Away,28,13,56,27
1991,The Silence of the Lambs,23,20,33,28
2006,The Departed,40,35,26,29
1990,Goodfellas,17,71,18,30
2011,The Intouchables,37,19,52,31
2014,Whiplash,45,54,30,32
2000,Gladiator,46,44,24,33
2012,Django Unchained,60,29,31,34
2002,The Pianist,39,31,53,35
1946,It’s a Wonderful Life,24,56,51,36
1960,Psycho,34,55,40,37
1977,Star Wars: Episode IV – A New Hope,20,48,32,38
2009,Inglourious Basterds,97,32,43,39
1998,Saving Private Ryan,29,70,25,40
1995,The Usual Suspects,26,58,36,41
1999,The Matrix,18,62,21,42
2000,Memento,49,57,34,43
1942,Casablanca,36,73,42,44
1999,American Beauty,63,51,35,45
1985,Back to the Future,44,49,46,46
2001,A Beautiful Mind,144,34,68,47
1954,Rear Window,43,80,60,48
2000,Requiem for a Dream,80,50,49,49
2011,Harry Potter and the Deathly Hallows: Part 2,218,14,126,50
2006,The Lives of Others,58,86,78,51
2010,Shutter Island,177,39,59,52
2008,WALL-E,62,42,62,53
2004,Eternal Sunshine of the Spotless Mind,87,38,66,54
1980,The Shining,61,61,47,55
1997,Good Will Hunting,102,60,48,56
1971,A Clockwork Orange,84,79,50,57
2001,Amelie,82,30,90,58
1954,Seven Samurai,19,336,39,59
1983,Star Wars: Episode VI – Return of the Jedi,76,87,63,60
1992,Reservoir Dogs,77,94,64,61
2017,Coco,51,209,166,62
1988,Cinema Paradiso,54,165,97,63
1979,Apocalypse Now,50,219,38,64
1940,The Great Dictator,53,262,101,65
1950,Sunset Boulevard,55,190,108,66
1931,City Lights,35,294,92,67
1997,Princess Mononoke,64,118,100,68
2015,Room,143,82,139,69
2003,Pirates of the Caribbean: The Curse of the Black Pearl,> 250,36,113,70
2004,Howl’s Moving Castle,137,43,216,71
1962,To Kill a Mockingbird,89,102,135,72
2009,Up,115,37,117,73
2014,Gone Girl,179,81,70,74
2010,Toy Story 3,98,66,82,75
1936,Modern Times,38,248,96,76
1988,Grave of the Fireflies,57,159,133,77
2006,Pan’s Labyrinth,130,74,91,78
2016,Hacksaw Ridge,175,161,124,79
1968,2001: A Space Odyssey,91,195,54,80
2007,Into the Wild,181,84,95,81
1958,Vertigo,72,154,87,82
2015,Inside Out,140,78,107,83
2005,Batman Begins,116,106,58,84
1975,Monty Python and the Holy Grail,103,123,104,85
2009,3 Idiots,93,203,93,86
2003,Oldeuboi,67,171,73,87
1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,56,236,57,88
1991,Terminator 2,42,178,44,89
1959,North by Northwest,74,205,99,90
1968,Once Upon a Time in the West,33,447,55,91
1981,Raiders of the Lost Ark,41,131,65,92
1995,Toy Story,94,85,80,93
1952,Singin’ in the Rain,90,110,170,94
2016,La La Land,207,122,86,95
1979,Alien,52,151,67,96
1941,Citizen Kane,71,188,74,97
2002,Catch Me if You Can,219,97,81,98
1983,Scarface,105,181,69,99
1976,Taxi Driver,88,164,71,100
2014,The Grand Budapest Hotel,194,65,128,101
1987,Full Metal Jacket,92,177,83,102
2010,How to Train Your Dragon,176,47,165,103
1984,Amadeus,83,128,121,104
2007,There Will Be Blood,165,212,72,105
2012,The Avengers,> 250,52,144,106
1984,Once Upon a Time in America,69,337,88,107
2013,The Wolf of Wall Street,150,158,45,108
2005,V for Vendetta,151,76,112,109
1939,Gone With the Wind,157,46,279,110
2003,Kill Bill: Vol. 1,174,89,114,111
1995,Braveheart,75,141,61,112
2003,Finding Nemo,166,53,151,113
1999,The Sixth Sense,160,75,116,114
2011,The Help,241,33,245,115
2015,Star Wars: The Force Awakens,> 250,92,154,116
2015,Mad Max: Fury Road,204,135,79,117
2000,Snatch,100,144,76,118
2016,Dangal,73,649,195,119
2016,Zootopia,> 250,95,187,120
2001,Donnie Darko,226,91,122,121
2008,Gran Torino,158,121,120,122
1989,Indiana Jones and the Last Crusade,112,156,84,123
2012,Jagten,101,183,141,124
1988,My Neighbor Totoro,132,112,183,125
1996,Trainspotting,156,107,127,126
2013,12 Years a Slave,201,100,131,127
1959,Some Like It Hot,118,124,186,128
1973,The Sting,95,284,143,129
2013,Prisoners,215,148,98,130
2017,Logan,202,193,103,131
2016,Your Name,79,399,190,132
2007,Taare Zameen Par,81,448,138,133
2011,A Separation,109,242,125,134
1997,Titanic,> 250,45,188,135
2011,Warrior,154,213,134,136
2017,Dunkirk,236,192,145,137
2015,Spotlight,205,155,152,138
1986,Stand by Me,192,125,184,139
2014,X-Men: Days of Future Past,> 250,113,159,140
2004,Kill Bill: Vol. 2,> 250,116,157,141
2014,The Imitation Game,> 250,69,209,142
2010,The King’s Speech,> 250,59,206,143
1986,Aliens,68,217,85,144
2004,Downfall,121,288,115,145
1998,"Lock, Stock and Two Smoking Barrels",142,199,130,146
1997,L.A. Confidential,106,225,94,147
2016,Arrival,> 250,169,137,148
1957,Paths of Glory,59,704,109,149
2017,Blade Runner 2049,147,368,102,150
1991,Beauty and the Beast,247,40,379,151
2014,Guardians of the Galaxy,> 250,111,147,152
1962,Lawrence of Arabia,85,396,105,153
1993,Jurassic Park,198,150,118,154
1927,Metropolis,108,331,182,155
2016,Deadpool,> 250,126,155,156
2012,The Hobbit: An Unexpected Journey,> 250,90,192,157
2001,"Monsters, Inc.",224,77,196,158
1988,Die Hard,122,220,77,159
1989,Dead Poets Society,238,103,239,160
2010,Black Swan,> 250,98,161,161
2015,The Martian,> 250,134,160,162
1957,Witness for the Prosecution,66,476,229,163
2004,Hotel Rwanda,190,176,181,164
2009,Star Trek,> 250,117,199,165
2013,The Hobbit: The Desolation of Smaug,> 250,109,205,166
2009,Hachi: A Dog’s Tale,212,127,288,167
2017,"Three Billboards Outside Ebbing, Missouri",111,351,204,168
1981,Das Boot,70,603,111,169
1995,Heat,123,332,89,170
1978,The Deer Hunter,159,346,153,171
1980,The Elephant Man,148,261,177,172
1931,M,78,465,167,173
1950,All About Eve,114,227,302,174
1921,The Kid,99,459,249,175
1944,Double Indemnity,86,433,169,176
2013,Her,> 250,194,106,177
2009,Mary and Max,178,175,274,178
2017,Thor: Ragnarok,> 250,200,260,179
2013,Dallas Buyers Club,> 250,146,175,180
1960,The Apartment,107,322,189,181
2008,In Bruges,> 250,239,140,182
1998,The Truman Show,206,132,149,183
2010,Incendies,131,300,253,184
1939,The Wizard of Oz,232,119,241,185
2008,Slumdog Millionaire,> 250,99,191,186
2007,No Country for Old Men,162,244,75,187
1999,The Boondock Saints,> 250,254,250,188
2009,The Secret in Their Eyes,135,265,198,189
2016,Lion,> 250,170,332,190
2017,Baahubali 2: The Conclusion,> 250,1170,343,191
2015,The Revenant,> 250,214,129,192
2004,Million Dollar Baby,203,163,162,193
2005,Babam ve Oglum,117,526,291,194
1963,The Great Escape,126,479,174,195
1948,Bicycle Thieves,96,458,202,196
2004,Harry Potter and the Prisoner of Azkaban,> 250,72,339,197
2006,Blood Diamond,> 250,172,212,198
1993,The Nightmare Before Christmas,> 250,105,318,199
1974,Chinatown,129,360,158,200
2012,The Perks of Being a Wallflower,> 250,108,232,201
1990,Edward Scissorhands,> 250,67,357,202
1949,The Third Man,127,484,224,203
2003,Big Fish,> 250,133,226,204
2013,Rush,193,252,172,205
1954,Dial M for Murder,155,352,233,206
1995,Before Sunrise,211,179,228,207
1940,Rebecca,173,250,350,208
1992,Unforgiven,120,543,110,209
1979,Life of Brian,183,266,179,210
1998,The Big Lebowski,167,256,123,211
1992,Aladdin,> 250,120,308,212
2000,Amores Perros,209,260,225,213
2007,The Bourne Ultimatum,234,235,156,214
2007,Ratatouille,> 250,138,211,215
1996,Fargo,161,230,164,216
1995,Twelve Monkeys,245,238,163,217
1965,For a Few Dollars More,104,792,142,218
1980,Raging Bull,124,599,119,219
2005,Serenity,> 250,208,295,220
1967,Cool Hand Luke,172,539,215,221
1969,Butch Cassidy and the Sundance Kid,210,421,231,222
1957,The Bridge on the River Kwai,138,581,180,223
1988,Rain Man,> 250,182,217,224
1965,The Sound of Music,> 250,101,516,225
1957,The Seventh Seal,141,462,223,226
1993,In the Name of the Father,188,408,268,227
2014,Wild Tales,185,323,282,228
1939,Mr. Smith Goes to Washington,145,466,297,229
2006,The Pursuit of Happyness,> 250,185,220,230
1995,Casino,146,419,136,231
1987,The Princess Bride,214,136,298,232
1950,Rashomon,110,626,185,233
2008,Iron Man,> 250,140,244,234
1975,Dog Day Afternoon,> 250,417,252,235
2014,PK,> 250,646,246,236
2005,Sin City,> 250,231,148,237
1954,On the Waterfront,139,546,237,238
1982,Gandhi,227,370,221,239
2017,Call Me by Your Name,186,347,528,240
2011,X: First Class,> 250,157,248,241
1948,The Treasure of the Sierra Madre,119,786,230,242
2014,Kingsman: The Secret Service,> 250,174,259,243
2012,Life of Pi,> 250,152,257,244
2016,Captain America: Civil War,> 250,215,265,245
2005,Harry Potter and the Goblet of Fire,> 250,96,431,246
